lat,lon,depth,starttime,energy,duration 
 47.62, -122.84, 30.0, 2013-09-08 16:50:00, 0.0, None 
 47.51, -122.87, 20.0, 2013-09-08 16:55:00, 0.0, None 
 47.57, -122.94, 27.5, 2013-09-08 17:00:00, 0.0, None 
 47.53, -122.85, 20.0, 2013-09-08 17:02:30, 0.0, None 
 47.72, -123.06, 54.0, 2013-09-08 17:02:30, 0.0, None 
 47.66, -122.96, 41.8, 2013-09-08 17:05:00, 0.0, None 
 47.62, -122.86, 31.0, 2013-09-08 17:07:30, 0.0, None 
 47.63, -122.83, 30.0, 2013-09-08 17:10:00, 0.0, None 
 47.62, -122.765, 30.5, 2013-09-08 17:17:30, 0.0, None 
 47.626999999999995, -122.757, 33.5, 2013-09-08 17:20:00, 0.0, None 
 47.585, -122.715, 24.5, 2013-09-08 17:22:30, 0.0, None 
 47.595, -122.71, 24.2, 2013-09-08 17:25:00, 0.0, None 
 47.595, -122.705, 25.5, 2013-09-08 17:27:30, 0.0, None 
 47.73, -122.76, 27.8, 2013-09-08 17:30:00, 0.0, None 
 47.735, -122.77, 28.0, 2013-09-08 17:32:30, 0.0, None 
 47.62, -122.7, 34.0, 2013-09-08 17:35:00, 0.0, None 
 47.66, -122.82799999999999, 45.2, 2013-09-08 17:52:30, 0.0, None 
 47.765, -122.79, 34.0, 2013-09-08 17:55:00, 0.0, None 
 47.7, -122.735, 34.0, 2013-09-08 17:57:30, 0.0, None 
 47.72, -122.72, 36.0, 2013-09-08 18:00:00, 0.0, None 
 47.55, -122.92, 60.0, 2013-09-08 18:02:30, 0.0, None 
 47.7, -122.73, 29.0, 2013-09-08 18:05:00, 0.0, None 
 47.415, -122.79, 20.0, 2013-09-08 18:22:30, 0.0, None 
 47.65, -122.93, 34.0, 2013-09-08 18:27:30, 0.0, None 
 47.37, -122.79, 20.0, 2013-09-08 18:30:00, 0.0, None 
 47.42, -122.76, 20.0, 2013-09-08 18:37:30, 0.0, None 
 47.68, -122.765, 21.2, 2013-09-08 18:42:30, 0.0, None 
 47.6, -122.47, 20.0, 2013-09-08 18:45:00, 0.0, None 
 47.52, -122.77, 20.0, 2013-09-08 18:47:30, 0.0, None 
 47.79, -122.69, 20.0, 2013-09-08 18:52:30, 0.0, None 
 47.62, -122.74, 33.5, 2013-09-08 19:00:00, 0.0, None 
 47.63, -122.79, 30.0, 2013-09-08 19:02:30, 0.0, None 
 47.665, -122.865, 36.0, 2013-09-08 19:05:00, 0.0, None 
 47.66, -122.805, 42.0, 2013-09-08 19:07:30, 0.0, None 
 47.6, -122.955, 43.0, 2013-09-08 19:10:00, 0.0, None 
 47.69, -122.855, 29.0, 2013-09-08 19:15:00, 0.0, None 
 47.9, -122.71, 34.0, 2013-09-08 19:15:00, 0.0, None 
 47.7, -122.82, 35.0, 2013-09-08 19:17:30, 0.0, None 
 47.655, -122.86, 20.0, 2013-09-08 19:20:00, 0.0, None 
 47.68, -122.88, 28.0, 2013-09-08 19:22:30, 0.0, None 
 47.605, -122.615, 60.0, 2013-09-08 19:32:30, 0.0, None 
 47.71, -122.755, 30.5, 2013-09-08 19:40:00, 0.0, None 
 47.755, -122.785, 25.0, 2013-09-08 19:42:30, 0.0, None 
 47.73, -122.765, 24.0, 2013-09-08 19:45:00, 0.0, None 
 47.61, -122.52, 60.0, 2013-09-08 19:47:30, 0.0, None 
 47.5, -122.87, 45.0, 2013-09-08 19:47:30, 0.0, None 
 47.605, -122.89, 20.0, 2013-09-08 19:50:00, 0.0, None 
 47.6, -122.87, 20.0, 2013-09-08 19:52:30, 0.0, None 
 47.8, -122.7, 29.0, 2013-09-08 19:52:30, 0.0, None 
 47.69, -122.88, 49.0, 2013-09-08 19:55:00, 0.0, None 
 47.68, -122.83, 20.0, 2013-09-08 20:10:00, 0.0, None 
 47.52, -122.99, 60.0, 2013-09-08 20:37:30, 0.0, None 
 47.46, -122.89, 20.0, 2013-09-08 20:47:30, 0.0, None 
 47.23, -122.82, 60.0, 2013-09-08 20:47:30, 0.0, None 
 47.59, -122.82, 25.0, 2013-09-08 21:02:30, 0.0, None 
 47.21, -122.62, 20.0, 2013-09-08 21:30:00, 0.0, None 
 47.255, -122.825, 54.0, 2013-09-08 21:32:30, 0.0, None 
 47.245, -122.792, 50.0, 2013-09-08 21:35:00, 0.0, None 
 47.09, -122.74, 51.0, 2013-09-08 22:05:00, 0.0, None 
 47.1, -122.83, 54.0, 2013-09-08 22:17:30, 0.0, None 
 47.185, -122.708, 20.0, 2013-09-08 22:20:00, 0.0, None 
 47.06, -122.78, 60.0, 2013-09-08 22:35:00, 0.0, None 
 47.195, -122.68799999999999, 47.5, 2013-09-08 22:37:30, 0.0, None 
 47.28, -122.72, 60.0, 2013-09-08 22:40:00, 0.0, None 
 47.48, -123.09, 58.0, 2013-09-08 22:45:00, 0.0, None 
 47.47, -122.64, 53.0, 2013-09-08 22:50:00, 0.0, None 
 47.36, -122.81200000000001, 57.5, 2013-09-08 22:52:30, 0.0, None 
 47.325, -122.785, 60.0, 2013-09-08 22:57:30, 0.0, None 
 47.1, -122.8, 41.0, 2013-09-08 23:00:00, 0.0, None 
 47.08, -122.8, 39.0, 2013-09-08 23:02:30, 0.0, None 
 47.7, -122.9, 42.0, 2013-09-08 23:05:00, 0.0, None 
 47.57, -122.89, 31.0, 2013-09-08 23:10:00, 0.0, None 
 47.66, -122.85, 20.0, 2013-09-08 23:15:00, 0.0, None 
 47.605, -122.915, 20.0, 2013-09-08 23:22:30, 0.0, None 
 47.59, -122.69, 34.0, 2013-09-08 23:25:00, 0.0, None 
 47.44, -122.87, 55.0, 2013-09-08 23:30:00, 0.0, None 
 47.88, -122.73, 20.0, 2013-09-08 23:30:00, 0.0, None 
 47.175, -122.68299999999999, 48.2, 2013-09-08 23:37:30, 0.0, None 
 47.52, -122.82, 60.0, 2013-09-08 23:40:00, 0.0, None 
 47.585, -122.895, 56.0, 2013-09-08 23:42:30, 0.0, None 
 47.73, -122.775, 30.0, 2013-09-08 23:45:00, 0.0, None 
 47.69, -122.77, 30.0, 2013-09-08 23:47:30, 0.0, None 
 47.66, -122.76, 31.5, 2013-09-08 23:50:00, 0.0, None 
 47.575, -122.835, 47.0, 2013-09-08 23:52:30, 0.0, None 
 47.72, -122.79, 33.0, 2013-09-08 23:55:00, 0.0, None 
 47.58, -122.72, 40.0, 2013-09-09 00:00:00, 0.0, None 
 47.25, -122.66, 20.0, 2013-09-09 00:00:00, 0.0, None 
 47.52, -122.95, 20.0, 2013-09-09 00:20:00, 0.0, None 
 47.5, -122.775, 29.5, 2013-09-09 00:22:30, 0.0, None 
 47.5, -122.8, 32.0, 2013-09-09 00:32:30, 0.0, None 
 47.77, -123.05, 52.0, 2013-09-09 00:40:00, 0.0, None 
 47.56, -122.94, 30.0, 2013-09-09 00:45:00, 0.0, None 
 47.215, -122.75, 55.0, 2013-09-09 01:00:00, 0.0, None 
 47.49, -122.76, 34.0, 2013-09-09 01:07:30, 0.0, None 
 47.475, -122.835, 37.0, 2013-09-09 01:15:00, 0.0, None 
 47.48, -122.92, 36.0, 2013-09-09 01:17:30, 0.0, None 
 47.477, -122.90700000000001, 26.8, 2013-09-09 01:25:00, 0.0, None 
 47.2, -123.07, 33.0, 2013-09-09 01:32:30, 0.0, None 
 47.51, -123.18, 60.0, 2013-09-09 01:35:00, 0.0, None 
 47.403, -122.80799999999999, 20.0, 2013-09-09 01:40:00, 0.0, None 
 47.49, -122.81, 56.0, 2013-09-09 01:42:30, 0.0, None 
 47.498000000000005, -122.92200000000001, 33.8, 2013-09-09 01:45:00, 0.0, None 
 47.495, -122.96, 32.5, 2013-09-09 01:47:30, 0.0, None 
 47.43, -122.9, 57.0, 2013-09-09 01:50:00, 0.0, None 
 47.465, -122.757, 38.0, 2013-09-09 01:55:00, 0.0, None 
 47.445, -122.713, 32.5, 2013-09-09 01:57:30, 0.0, None 
 47.49, -122.8, 40.0, 2013-09-09 02:00:00, 0.0, None 
 47.25, -122.7, 35.0, 2013-09-09 02:15:00, 0.0, None 
 47.4, -122.775, 39.0, 2013-09-09 02:20:00, 0.0, None 
 47.39, -122.6, 31.0, 2013-09-09 02:22:30, 0.0, None 
 47.41, -122.76, 23.0, 2013-09-09 02:25:00, 0.0, None 
 47.4, -122.85, 25.5, 2013-09-09 02:27:30, 0.0, None 
 47.31, -122.675, 20.0, 2013-09-09 02:30:00, 0.0, None 
 47.67, -122.83, 30.0, 2013-09-09 02:32:30, 0.0, None 
 47.52, -122.89, 20.0, 2013-09-09 02:35:00, 0.0, None 
 47.35, -122.8, 47.0, 2013-09-09 02:47:30, 0.0, None 
 47.39, -122.86, 60.0, 2013-09-09 02:50:00, 0.0, None 
 47.47, -122.755, 42.0, 2013-09-09 02:55:00, 0.0, None 
 47.138000000000005, -122.77799999999999, 25.0, 2013-09-09 03:22:30, 0.0, None 
 47.1, -122.73, 36.5, 2013-09-09 03:25:00, 0.0, None 
 47.17, -122.75, 25.0, 2013-09-09 03:27:30, 0.0, None 
 47.135, -122.78200000000001, 28.2, 2013-09-09 03:40:00, 0.0, None 
 47.15, -122.7, 50.0, 2013-09-09 03:45:00, 0.0, None 
 47.1, -122.84, 60.0, 2013-09-09 03:47:30, 0.0, None 
 47.125, -122.74, 47.0, 2013-09-09 03:50:00, 0.0, None 
 47.64, -122.76, 20.0, 2013-09-09 04:15:00, 0.0, None 
 47.21, -122.65, 20.0, 2013-09-09 04:22:30, 0.0, None 
 47.31, -122.49, 60.0, 2013-09-09 04:25:00, 0.0, None 
 47.695, -122.69, 48.5, 2013-09-09 04:27:30, 0.0, None 
